iter	Passed	Remaining
0	0	63
1	1	57
2	1	53
3	2	50
4	2	48
5	2	46
6	3	46
7	3	45
8	4	44
9	4	44
10	5	43
11	5	43
12	6	42
13	6	41
14	7	41
15	7	40
16	8	40
17	8	40
18	9	40
19	9	39
20	10	39
21	11	39
22	11	39
23	12	39
24	13	39
25	13	38
26	14	38
27	14	37
28	15	37
29	15	36
30	16	35
31	16	35
32	17	34
33	17	33
34	18	33
35	18	33
36	19	32
37	19	31
38	20	31
39	20	30
40	21	30
41	21	29
42	21	29
43	22	28
44	22	27
45	23	27
46	23	26
47	24	26
48	24	25
49	25	25
50	25	24
51	26	24
52	27	24
53	27	23
54	28	23
55	28	22
56	29	22
57	30	21
58	30	21
59	31	20
60	31	20
61	32	19
62	32	19
63	33	18
64	33	18
65	34	17
66	34	16
67	34	16
68	35	15
69	35	15
70	36	14
71	36	14
72	37	13
73	37	13
74	38	12
75	38	12
76	39	11
77	39	11
78	39	10
79	40	10
80	40	9
81	41	9
82	41	8
83	42	8
84	42	7
85	43	7
86	43	6
87	44	6
88	44	5
89	45	5
90	45	4
91	46	4
92	46	3
93	46	2
94	47	2
95	47	1
96	48	1
97	49	1
98	49	0
99	50	0
