iter	Passed	Remaining
0	7	7299
1	8	4131
2	9	3015
3	9	2442
4	10	2085
5	11	1892
6	12	1730
7	13	1654
8	14	1566
9	15	1487
10	15	1410
11	16	1346
12	17	1311
13	18	1270
14	18	1234
15	19	1201
16	20	1171
17	20	1143
18	21	1118
19	22	1102
20	23	1082
21	23	1064
22	24	1055
23	25	1056
24	26	1048
25	27	1032
26	28	1024
27	29	1014
28	30	1005
29	30	993
30	31	986
31	32	979
32	33	973
33	34	966
34	34	957
35	35	950
36	36	944
37	37	939
38	37	934
39	38	929
40	39	923
41	40	920
42	41	916
43	41	912
44	42	906
45	43	903
46	44	900
47	45	897
48	45	891
49	46	887
50	47	883
51	48	880
52	48	874
53	49	871
54	50	866
55	51	862
56	51	859
57	52	854
58	53	848
59	53	843
60	54	839
61	55	834
62	55	831
63	56	826
64	57	824
65	57	820
66	58	815
67	59	809
68	59	805
69	60	802
70	61	798
71	61	795
72	62	792
73	62	788
74	63	784
75	64	780
76	64	777
77	65	773
78	66	769
79	66	767
80	67	766
81	68	763
82	68	758
83	69	756
84	70	753
85	70	750
86	71	748
87	71	746
88	72	742
89	73	741
90	74	740
91	74	738
92	75	736
93	76	734
94	76	732
95	77	730
96	78	728
97	78	725
98	79	725
99	80	724
100	81	723
101	81	721
102	82	719
103	83	718
104	84	716
105	84	714
106	85	713
107	86	711
108	86	709
109	87	709
110	88	707
111	88	705
112	89	704
113	90	702
114	91	701
115	91	699
116	92	697
117	93	696
118	93	695
119	94	693
120	95	691
121	95	688
122	96	687
123	97	685
124	97	684
125	98	682
126	98	679
127	99	678
128	100	678
129	101	677
130	101	675
131	102	673
132	103	671
133	103	670
134	104	668
135	105	667
136	105	666
137	106	665
138	107	663
139	107	661
140	108	660
141	108	658
142	109	657
143	110	655
144	110	654
145	111	653
146	112	652
147	113	651
148	113	650
149	114	649
150	115	648
151	116	647
152	116	646
153	117	645
154	118	644
155	118	643
156	119	642
157	120	641
158	121	640
159	121	639
160	122	637
161	123	636
162	123	636
163	124	635
164	125	634
165	126	634
166	127	633
167	128	633
168	128	632
169	129	632
170	130	631
171	131	631
172	131	630
173	132	630
174	133	629
175	134	628
176	134	626
177	135	625
178	136	624
179	136	622
180	137	621
181	137	620
182	138	618
183	139	617
184	139	615
185	140	614
186	140	612
187	141	611
188	142	610
189	143	609
190	143	608
191	144	607
192	144	606
193	145	604
194	146	604
195	147	603
196	147	602
197	148	601
198	149	601
199	150	600
200	150	599
201	151	598
202	152	597
203	152	596
204	153	595
205	154	595
206	155	594
207	156	594
208	156	593
209	157	592
210	158	591
211	158	590
212	159	589
213	160	588
214	160	587
215	161	586
216	162	585
217	163	585
218	164	585
219	165	585
220	165	584
221	166	583
222	167	582
223	167	581
224	168	580
225	169	579
226	170	579
227	170	578
228	171	577
229	172	576
230	173	577
231	174	577
232	175	576
233	175	575
234	176	574
235	177	573
236	177	572
237	178	571
238	179	570
239	179	569
240	180	568
241	181	567
242	181	566
243	182	566
244	183	565
245	184	564
246	184	563
247	185	562
248	186	562
249	187	561
250	187	560
251	188	560
252	189	559
253	190	558
254	190	557
255	191	556
256	192	556
257	193	555
258	193	554
259	194	553
260	195	552
261	195	551
262	196	550
263	197	549
264	197	548
265	198	547
266	199	547
267	200	546
268	200	545
269	201	544
270	202	543
271	202	542
272	203	541
273	203	540
274	204	539
275	205	538
276	205	537
277	206	536
278	207	535
279	207	534
280	208	533
281	208	532
282	209	531
283	210	530
284	211	529
285	211	529
286	212	528
287	213	527
288	214	527
289	215	526
290	215	525
291	216	524
292	217	523
293	217	523
294	218	522
295	219	522
296	220	521
297	221	521
298	222	520
299	222	520
300	223	519
301	224	518
302	225	517
303	225	516
304	226	517
305	227	515
306	228	514
307	229	514
308	229	513
309	230	513
310	231	512
311	232	511
312	232	511
313	233	510
314	234	509
315	235	509
316	236	508
317	236	508
318	237	507
319	238	506
320	239	506
321	240	505
322	240	504
323	241	504
324	242	503
325	243	503
326	244	502
327	244	501
328	245	501
329	246	500
330	247	500
331	248	499
332	248	498
333	249	498
334	250	497
335	251	496
336	252	496
337	252	495
338	254	495
339	254	494
340	255	494
341	256	493
342	257	492
343	257	491
344	258	491
345	259	490
346	260	490
347	261	489
348	262	489
349	263	488
350	263	487
351	264	486
352	265	486
353	266	485
354	267	485
355	268	485
356	268	484
357	269	483
358	270	482
359	271	481
360	271	481
361	272	480
362	273	479
363	274	480
364	276	481
365	277	480
366	278	480
367	279	480
368	280	479
369	281	479
370	282	478
371	283	478
372	284	477
373	285	477
374	285	476
375	286	475
376	287	474
377	288	475
378	289	474
379	290	474
380	291	473
381	292	472
382	293	472
383	293	471
384	294	470
385	295	469
386	296	469
387	296	468
388	297	468
389	298	467
390	299	467
391	301	467
392	301	466
393	302	465
394	303	464
395	304	463
396	304	463
397	305	462
398	306	461
399	307	460
400	307	460
401	308	459
402	309	458
403	310	458
404	311	457
405	312	456
406	312	455
407	313	455
408	314	454
409	315	453
410	316	452
411	316	452
412	317	451
413	318	450
414	319	450
415	320	450
416	321	449
417	322	449
418	323	448
419	324	447
420	324	446
421	325	446
422	326	445
423	327	444
424	328	444
425	329	443
426	330	442
427	330	442
428	331	441
429	332	441
430	333	440
431	335	440
432	335	439
433	336	439
434	337	438
435	338	437
436	338	436
437	340	436
438	340	435
439	341	434
440	342	434
441	343	433
442	344	432
443	345	432
444	346	431
445	346	430
446	347	430
447	348	429
448	349	428
449	350	427
450	350	427
451	351	426
452	352	426
453	353	425
454	354	424
455	355	424
456	356	423
457	357	422
458	358	422
459	359	421
460	360	421
461	360	420
462	361	419
463	362	418
464	363	418
465	364	417
466	365	416
467	365	415
468	366	415
469	367	414
470	367	413
471	368	412
472	369	411
473	370	411
474	371	410
475	372	409
476	372	408
477	373	407
478	374	407
479	375	406
480	376	405
481	376	404
482	377	404
483	378	403
484	379	402
485	379	401
486	380	400
487	381	399
488	382	399
489	382	398
490	383	397
491	384	396
492	385	396
493	386	395
494	387	395
495	388	394
496	389	394
497	390	393
498	391	393
499	392	392
500	393	392
501	394	391
502	395	390
503	396	389
504	396	389
505	397	388
506	398	387
507	400	387
508	401	386
509	402	386
510	403	385
511	404	385
512	404	384
513	405	383
514	406	382
515	407	382
516	408	381
517	409	380
518	409	379
519	410	379
520	411	378
